Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value
200883_at,0.6081494822469199,0.8214164290813426,-0.2132669468344227,1.5839053211008542e-12,3.0893507607600337e-10
200950_at,0.5394041742762179,0.7739318585413139,-0.23452768426509596,5.808727116020816e-10,3.4975966260997226e-08
201206_s_at,0.5461362059957691,0.3438482082582332,0.20228799773753586,4.4439990143397674e-10,2.8385978733349442e-08
201523_x_at,0.36989096449408715,0.5717312878029496,-0.20184032330886242,4.91207062169312e-09,1.978340065357864e-07
201532_at,0.5586129342416886,0.7596970975240934,-0.20108416328240486,5.5089377391012003e-08,1.4499258638338982e-06
201825_s_at,0.5337206268107842,0.7358235192364686,-0.20210289242568436,3.0403606041477596e-11,3.3275193121106532e-09
201971_s_at,0.22047880007206883,0.4465463565977055,-0.22606755652563665,4.1615728436154154e-14,2.1044072010034135e-11
202257_s_at,0.4174971568759665,0.6676467387213858,-0.2501495818454193,6.897312972390985e-14,2.960488698548598e-11
202675_at,0.5528339668041108,0.7567453685119403,-0.2039114017078295,4.5075619514725963e-13,1.195007188620257e-10
202785_at,0.5227882743778991,0.7805248370479573,-0.2577365626700582,2.0107286259417564e-14,1.2478627550972402e-11
203114_at,0.2365670966421969,0.4517716083112047,-0.2152045116690078,6.748856996653888e-09,2.5631107590977663e-07
203466_at,0.5097299152005034,0.7207196270612152,-0.2109897118607118,7.0772766219379934e-12,1.0264516911879058e-09
203720_s_at,0.48329095683248297,0.6971344823728083,-0.21384352554032532,4.361319659916899e-10,2.798880735452898e-08
203813_s_at,0.35252049624920195,0.5526151346911817,-0.20009463844197978,1.1204330162736817e-08,3.9124174116211365e-07
203816_at,0.4094932915892742,0.6685433022476753,-0.2590500106584011,1.4774800912771558e-12,2.934168008178884e-10
203861_s_at,0.4763690951077047,0.7119306732589235,-0.23556157815121875,2.1589517105256945e-08,6.772362421995392e-07
203997_at,0.4178189037730779,0.6181953670492044,-0.20037646327612652,8.832217776859071e-10,4.883113504265995e-08
204014_at,0.39577129781580656,0.620818518134708,-0.22504722031890145,2.4410670505515738e-08,7.45187226561057e-07
