Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value,probe_id,gene_symbol,gene_title
200883_at,0.6081494822469199,0.8214164290813426,-0.2132669468344227,1.5839053211008544e-12,3.0893507607600337e-10,200883_at,UQCRC2,ubiquinol-cytochrome c reductase core protein II
200950_at,0.5394041742762179,0.7739318585413139,-0.2345276842650959,5.808727116020815e-10,3.4975966260997226e-08,200950_at,ARPC1A,"actin related protein 2/3 complex, subunit 1A, 41kDa"
201206_s_at,0.5461362059957691,0.3438482082582332,0.2022879977375358,4.443999014339768e-10,2.838597873334944e-08,201206_s_at,RRBP1,ribosome binding protein 1
201523_x_at,0.3698909644940871,0.5717312878029496,-0.2018403233088624,4.912070621693121e-09,1.978340065357864e-07,201523_x_at,UBE2N,ubiquitin-conjugating enzyme E2N
201532_at,0.5586129342416886,0.7596970975240934,-0.2010841632824048,5.5089377391012003e-08,1.4499258638338982e-06,201532_at,PSMA3,"proteasome (prosome, macropain) subunit, alpha type, 3"
201825_s_at,0.5337206268107842,0.7358235192364686,-0.2021028924256843,3.04036060414776e-11,3.3275193121106524e-09,201825_s_at,SCCPDH,saccharopine dehydrogenase (putative)
201971_s_at,0.2204788000720688,0.4465463565977055,-0.2260675565256366,4.161572843615416e-14,2.104407201003413e-11,201971_s_at,ATP6V1A,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
202257_s_at,0.4174971568759665,0.6676467387213858,-0.2501495818454193,6.897312972390985e-14,2.9604886985485976e-11,202257_s_at,CD2BP2,CD2 (cytoplasmic tail) binding protein 2
202675_at,0.5528339668041108,0.7567453685119403,-0.2039114017078295,4.5075619514725963e-13,1.195007188620257e-10,202675_at,SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
202785_at,0.5227882743778991,0.7805248370479573,-0.2577365626700582,2.0107286259417564e-14,1.2478627550972402e-11,202785_at,NDUFA7,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa"
203114_at,0.2365670966421969,0.4517716083112047,-0.2152045116690078,6.748856996653888e-09,2.563110759097767e-07,203114_at,SSSCA1,Sjogren syndrome/scleroderma autoantigen 1
203466_at,0.5097299152005034,0.7207196270612152,-0.2109897118607118,7.077276621937994e-12,1.0264516911879058e-09,203466_at,MPV17,MpV17 mitochondrial inner membrane protein
