drug,target,energy
CHEMBL11,HSPA8,-7.0
CHEMBL12,HSPA8,-6.6
CHEMBL13,HSPA8,-5.3
CHEMBL16,HSPA8,-7.0
CHEMBL17,HSPA8,-5.6
CHEMBL18,HSPA8,-6.2
CHEMBL19,HSPA8,-6.0
CHEMBL2,HSPA8,-8.3
CHEMBL20,HSPA8,-6.5
CHEMBL21,HSPA8,-5.6
CHEMBL22,HSPA8,-6.7
CHEMBL23,HSPA8,-7.1
CHEMBL24,HSPA8,-5.7
CHEMBL25,HSPA8,-5.4
CHEMBL266349,HSPA8,-7.8
CHEMBL267744,HSPA8,-6.5
CHEMBL267894,HSPA8,-6.3
CHEMBL267936,HSPA8,-5.0
CHEMBL268164,HSPA8,-6.3
CHEMBL268869,HSPA8,-6.6
CHEMBL27,HSPA8,-5.7
CHEMBL29,HSPA8,-5.8
CHEMBL3,HSPA8,-4.9
CHEMBL30,HSPA8,-5.2
CHEMBL31,HSPA8,-6.6
CHEMBL32,HSPA8,-8.5
CHEMBL33,HSPA8,-7.9
CHEMBL35,HSPA8,-5.7
CHEMBL36,HSPA8,-5.6
CHEMBL4,HSPA8,-7.4
CHEMBL40,HSPA8,-6.2
CHEMBL403,HSPA8,-5.9
CHEMBL404,HSPA8,-7.0
CHEMBL406,HSPA8,-7.0
CHEMBL407,HSPA8,-6.9
CHEMBL408,HSPA8,-7.7
CHEMBL409,HSPA8,-7.2
CHEMBL41,HSPA8,-5.5
CHEMBL411,HSPA8,-6.0
CHEMBL415,HSPA8,-7.3
CHEMBL416,HSPA8,-6.8
CHEMBL419,HSPA8,-6.1
CHEMBL42,HSPA8,-7.5
CHEMBL420,HSPA8,-7.3
CHEMBL421,HSPA8,-7.9
CHEMBL422,HSPA8,-8.7
CHEMBL423,HSPA8,-5.2
CHEMBL425,HSPA8,-8.0
CHEMBL427,HSPA8,-3.1
CHEMBL428,HSPA8,-8.2
CHEMBL429,HSPA8,-6.3
CHEMBL43,HSPA8,-8.7
CHEMBL430,HSPA8,-10.4
CHEMBL431,HSPA8,-6.9
CHEMBL434,HSPA8,-6.4
CHEMBL435,HSPA8,-6.9
CHEMBL436,HSPA8,-6.0
CHEMBL437,HSPA8,-5.8
CHEMBL438,HSPA8,-7.5
CHEMBL439,HSPA8,-7.0
CHEMBL440,HSPA8,-5.2
CHEMBL441,HSPA8,-5.4
CHEMBL443,HSPA8,-6.9
CHEMBL445,HSPA8,-7.0
CHEMBL446,HSPA8,-7.8
CHEMBL447,HSPA8,-6.1
CHEMBL448,HSPA8,-5.8
CHEMBL449,HSPA8,-5.8
CHEMBL45,HSPA8,-6.3
CHEMBL450,HSPA8,-5.7
CHEMBL451,HSPA8,-6.3
CHEMBL452,HSPA8,-7.7
CHEMBL453,HSPA8,-7.5
CHEMBL454,HSPA8,-6.0
CHEMBL455,HSPA8,-6.8
CHEMBL456,HSPA8,-6.2
CHEMBL457,HSPA8,-5.4
CHEMBL459,HSPA8,-7.0
CHEMBL46,HSPA8,-7.0
CHEMBL460,HSPA8,-6.1
CHEMBL463,HSPA8,-5.7
CHEMBL49,HSPA8,-6.5
CHEMBL5,HSPA8,-6.8
CHEMBL53,HSPA8,-10.0
CHEMBL54,HSPA8,-6.2
CHEMBL55,HSPA8,-5.8
CHEMBL57,HSPA8,-6.0
CHEMBL59,HSPA8,-5.9
CHEMBL6,HSPA8,-6.9
CHEMBL6437,HSPA8,-6.1
CHEMBL6622,HSPA8,-6.8
CHEMBL6995,HSPA8,-6.1
CHEMBL7413,HSPA8,-6.4
CHEMBL7728,HSPA8,-5.9
CHEMBL7863,HSPA8,-6.8
CHEMBL8,HSPA8,-6.5
CHEMBL9,HSPA8,-7.3
CHEMBL11,PGK1,-6.8
CHEMBL12,PGK1,-6.0
CHEMBL13,PGK1,-4.8
CHEMBL16,PGK1,-5.9
CHEMBL17,PGK1,-6.2
CHEMBL18,PGK1,-5.2
CHEMBL19,PGK1,-5.6
CHEMBL2,PGK1,-6.2
CHEMBL20,PGK1,-5.9
CHEMBL21,PGK1,-4.7
CHEMBL22,PGK1,-5.9
CHEMBL23,PGK1,-5.7
CHEMBL24,PGK1,-4.8
CHEMBL25,PGK1,-4.4
CHEMBL266349,PGK1,-7.0
CHEMBL267744,PGK1,-5.8
CHEMBL267894,PGK1,-5.4
CHEMBL267936,PGK1,-3.9
CHEMBL268164,PGK1,-6.1
CHEMBL268869,PGK1,-6.1
CHEMBL27,PGK1,-5.8
CHEMBL29,PGK1,-6.0
CHEMBL3,PGK1,-4.7
CHEMBL30,PGK1,-4.9
CHEMBL31,PGK1,-6.2
CHEMBL32,PGK1,-6.3
CHEMBL33,PGK1,-6.2
CHEMBL35,PGK1,-6.0
CHEMBL36,PGK1,-6.2
CHEMBL4,PGK1,-6.3
CHEMBL40,PGK1,-5.6
CHEMBL403,PGK1,-5.5
CHEMBL404,PGK1,-6.6
CHEMBL406,PGK1,-6.4
CHEMBL407,PGK1,-5.7
CHEMBL408,PGK1,-6.1
CHEMBL409,PGK1,-5.7
CHEMBL41,PGK1,-5.6
CHEMBL411,PGK1,-5.1
CHEMBL415,PGK1,-6.8
CHEMBL416,PGK1,-5.6
