protein,degree_centrality,betweenness_centrality,hub_score
CDC42,0.19696969696969696,0.19201934664457626,0.1944945218071366
HSPA8,0.19696969696969696,0.16706737186818912,0.18201853441894306
PGK1,0.14393939393939395,0.09944383444129404,0.121691614190344
B2M,0.12878787878787878,0.11273089797633973,0.12075938838210926
CALM1,0.12121212121212122,0.09730707360711069,0.10925959740961595
GFAP,0.13636363636363635,0.08048186480818577,0.10842275058591105
GRIN1,0.12878787878787878,0.08699150983877187,0.10788969431332532
UQCRC2,0.10606060606060606,0.0897310075632796,0.09789580681194283
CCT5,0.10606060606060606,0.07933417999329004,0.09269739302694804
IFI16,0.08333333333333334,0.06753807828423572,0.07543570580878453
SMARCA4,0.08333333333333334,0.06174260209866565,0.07253796771599949
MSH2,0.07575757575757576,0.06220399229608605,0.0689807840268309
SDHB,0.09090909090909091,0.045613802904797635,0.06826144690694427
MRPL30,0.045454545454545456,0.09097381979061368,0.06821418262257957
UBE3A,0.09848484848484848,0.03540030684739586,0.06694257766612217
CXCR4,0.09848484848484848,0.026129739718684906,0.06230729410176669
UBE2N,0.07575757575757576,0.036820430306613604,0.05628900303209468
ATP1A3,0.07575757575757576,0.029482403090393686,0.05261998942398472
COL1A1,0.06818181818181818,0.030926134796090583,0.04955397648895438
SLC1A6,0.03787878787878788,0.06118634045421,0.04953256416649894
TUBB2A,0.07575757575757576,0.02311065966521629,0.049434117711396025
ACTN2,0.06060606060606061,0.036265798423993904,0.04843592951502726
ACTL6B,0.06818181818181818,0.028236841791349904,0.04820932998658404
SCN8A,0.08333333333333334,0.011740338048643231,0.04753683569098829
SST,0.06818181818181818,0.02239912959646842,0.0452904738891433
CDC37,0.06818181818181818,0.021306302471138825,0.0447440603264785
FBXO32,0.06060606060606061,0.02772535117265836,0.04416570588935948
PSMA3,0.07575757575757576,0.011888677685959893,0.04382312672176783
VDAC3,0.07575757575757576,0.009930905645502554,0.04284424070153916
GNB5,0.06818181818181818,0.015363852904998282,0.04177283554340823
EZR,0.06060606060606061,0.021281357372359994,0.0409437089892103
GABRA5,0.06818181818181818,0.012789170581099098,0.04048549438145864
ATP6V1A,0.06818181818181818,0.012155678570129847,0.04016874837597401
ATR,0.06818181818181818,0.00908189301081191,0.038631855596315046
TOMM22,0.05303030303030303,0.023476898933179297,0.038253600981741166
MAP2K5,0.05303030303030303,0.022445298387392978,0.037737800708848
UTP4,0.045454545454545456,0.024769777142057425,0.03511216129830144
RTN4IP1,0.022727272727272728,0.04499190377052972,0.03385958824890123
POLR3C,0.045454545454545456,0.02143402949257534,0.033444287473560395
GABRD,0.06060606060606061,0.005424640817158408,0.033015350711609506
RGS7,0.03787878787878788,0.027280617980872893,0.03257970292983039
WDR61,0.03787878787878788,0.024976150226210376,0.03142746905249913
