Sample_ID,Title,Source,Condition
GSM119615,EC control 1,"brain, Entorhinal Cortex",Normal
GSM119616,EC control 2,"brain, Entorhinal Cortex",Normal
GSM119617,EC control 3,"brain, Entorhinal Cortex",Normal
GSM119618,EC control 4,"brain, Entorhinal Cortex",Normal
GSM119619,EC control 5,"brain, Entorhinal Cortex",Normal
GSM119620,EC control 6,"brain, Entorhinal Cortex",Normal
GSM119621,EC control 7,"brain, Entorhinal Cortex",Normal
GSM119622,EC control 8,"brain, Entorhinal Cortex",Normal
GSM119623,EC control 9,"brain, Entorhinal Cortex",Normal
GSM119624,EC control 10,"brain, Entorhinal Cortex",Normal
GSM119625,EC control 11,"brain, Entorhinal Cortex",Normal
GSM119626,EC control 12,"brain, Entorhinal Cortex",Normal
GSM119627,EC control 13,"brain, Entorhinal Cortex",Normal
GSM119628,HIP control 1,"brain, hippocampus",Normal
GSM119629,HIP control 2,"brain, hippocampus",Normal
GSM119630,HIP control 3,"brain, hippocampus",Normal
GSM119631,HIP control 4,"brain, hippocampus",Normal
GSM119632,HIP control 5,"brain, hippocampus",Normal
GSM119633,HIP control 6,"brain, hippocampus",Normal
GSM119634,HIP control 7,"brain, hippocampus",Normal
GSM119635,HIP control 8,"brain, hippocampus",Normal
GSM119636,HIP control 9,"brain, hippocampus",Normal
GSM119637,HIP control 10,"brain, hippocampus",Normal
GSM119638,HIP control 11,"brain, hippocampus",Normal
GSM119639,HIP control 12,"brain, hippocampus",Normal
GSM119640,HIP control 13,"brain, hippocampus",Normal
GSM119641,MTG control 1,"brain, Medial Temporal Gyrus",Normal
GSM119642,MTG control 2,"brain, Medial Temporal Gyrus",Normal
GSM119643,MTG control 3,"brain, Medial Temporal Gyrus",Normal
GSM119644,MTG control 4,"brain, Medial Temporal Gyrus",Normal
GSM119645,MTG control 5,"brain, Medial Temporal Gyrus",Normal
GSM119646,MTG control 6,"brain, Medial Temporal Gyrus",Normal
GSM119647,MTG control 7,"brain, Medial Temporal Gyrus",Normal
GSM119648,MTG control 8,"brain, Medial Temporal Gyrus",Normal
GSM119649,MTG control 9,"brain, Medial Temporal Gyrus",Normal
GSM119650,MTG control 10,"brain, Medial Temporal Gyrus",Normal
GSM119651,MTG control 11,"brain, Medial Temporal Gyrus",Normal
GSM119652,MTG control 12,"brain, Medial Temporal Gyrus",Normal
GSM119653,PC control 1,"brain, Posterior Cingulate",Normal
GSM119654,PC control 2,"brain, Posterior Cingulate",Normal
GSM119655,PC control 3,"brain, Posterior Cingulate",Normal
GSM119656,PC control 4,"brain, Posterior Cingulate",Normal
GSM119657,PC control 5,"brain, Posterior Cingulate",Normal
GSM119658,PC control 6,"brain, Posterior Cingulate",Normal
GSM119659,PC control 7,"brain, Posterior cingulate",Normal
GSM119660,PC control 8,"brain, Posterior cingulate",Normal
GSM119661,PC control 9,"brain, Posterior cingulate",Normal
GSM119662,PC control 10,"brain, Posterior cingulate",Normal
GSM119663,PC control 11,"brain, Posterior cingulate",Normal
GSM119664,PC control 12,"brain, Posterior cingulate",Normal
GSM119665,PC control 13,"brain, Posterior cingulate",Normal
GSM119666,SFG control 1,"brain, Superior Frontal Gyrus",Normal
