chembl_id,name,smiles,mw,logp,pred_GRIN1,pred_HSPA8,pred_ITPKB,pred_PGK1,avg_predicted
CHEMBL728,PROCHLORPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,373.95,4.58,-9.786000000000001,-7.867779569892475,-8.49499999999999,-6.928666666666661,-8.269361559139782
CHEMBL726,FLUPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,437.53,4.31,-8.743000000000006,-7.989250000000006,-8.44999999999999,-6.49175,-7.918500000000001
CHEMBL593,DELAVIRDINE,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,456.57,2.72,-9.111000000000006,-7.966793957465685,-8.310999999999995,-6.246317460317459,-7.908777854445787
CHEMBL567,PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,403.98,3.94,-8.676857142857147,-7.6339880952381,-8.269999999999992,-6.428416666666664,-7.752315476190476
CHEMBL1088,MESORIDAZINE,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,386.59,4.9,-8.707934065934067,-7.597900962388868,-8.333333333333325,-6.255464285714282,-7.723658161842636
CHEMBL1085,ACETOPHENAZINE,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,411.57,3.49,-8.570857142857147,-7.692483351405084,-8.268999999999993,-6.189583333333334,-7.680480956898889
CHEMBL1075,MORICIZINE,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,427.53,4.11,-8.488166666666668,-7.747398809523813,-8.124999999999993,-6.088297619047621,-7.612215773809524
CHEMBL592,LEVORPHANOL,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,257.38,3.08,-8.755000000000003,-7.264847599815767,-8.091999999999995,-5.7849523809523795,-7.474199995192036
CHEMBL52440,DEXTROMETHORPHAN,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,271.4,3.38,-8.756000000000006,-7.298444064462233,-8.072999999999995,-5.758952380952381,-7.471599111353653
CHEMBL715,OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,312.44,3.44,-8.713000000000003,-7.228659331797231,-7.446599999999995,-6.379666666666662,-7.441981499615973
