drug,avg_energy,best_energy,num_targets_strong,GRIN1,HSPA8,ITPKB,PGK1
CHEMBL53,-10.725000000000001,-13.2,4,-13.2,-10.0,-10.5,-9.2
CHEMBL430,-9.275,-10.5,4,-10.5,-10.4,-8.5,-7.7
CHEMBL422,-9.025,-10.5,4,-10.5,-8.7,-9.4,-7.5
CHEMBL43,-8.6,-10.2,4,-10.2,-8.7,-9.0,-6.5
CHEMBL428,-8.2,-9.2,4,-9.2,-8.2,-8.5,-6.9
CHEMBL415,-8.024999999999999,-9.9,4,-9.9,-7.3,-8.1,-6.8
CHEMBL408,-7.700000000000001,-9.1,4,-9.1,-7.7,-7.9,-6.1
CHEMBL11,-7.7,-8.8,4,-8.8,-7.0,-8.2,-6.8
CHEMBL266349,-7.675,-8.6,4,-8.6,-7.8,-7.3,-7.0
CHEMBL420,-7.675,-9.2,4,-9.2,-7.3,-6.9,-7.3
CHEMBL2,-7.675,-8.8,4,-8.8,-8.3,-7.4,-6.2
CHEMBL32,-7.65,-8.5,4,-8.0,-8.5,-7.8,-6.3
CHEMBL445,-7.574999999999999,-8.7,4,-8.7,-7.0,-7.7,-6.9
CHEMBL421,-7.55,-8.6,4,-8.6,-7.9,-7.0,-6.7
CHEMBL42,-7.5,-9.0,4,-9.0,-7.5,-7.5,-6.0
CHEMBL33,-7.425,-8.7,4,-8.7,-7.9,-6.9,-6.2
CHEMBL406,-7.35,-8.8,4,-8.8,-7.0,-7.2,-6.4
CHEMBL452,-7.325000000000001,-7.9,4,-7.9,-7.7,-7.3,-6.4
CHEMBL6,-7.2749999999999995,-8.2,4,-8.2,-6.9,-7.3,-6.7
CHEMBL4,-7.2250000000000005,-8.2,4,-8.2,-7.4,-7.0,-6.3
CHEMBL409,-7.175,-8.3,3,-8.3,-7.2,-7.5,-5.7
CHEMBL446,-7.1499999999999995,-7.8,4,-7.2,-7.8,-6.9,-6.7
CHEMBL425,-7.125,-8.0,4,-7.3,-8.0,-6.6,-6.6
CHEMBL46,-7.125,-8.1,4,-8.1,-7.0,-7.4,-6.0
CHEMBL443,-7.0,-7.5,4,-7.5,-6.9,-7.3,-6.3
CHEMBL16,-6.949999999999999,-7.7,3,-7.7,-7.0,-7.2,-5.9
CHEMBL6622,-6.949999999999999,-8.4,4,-8.4,-6.8,-6.1,-6.5
CHEMBL453,-6.925000000000001,-7.5,3,-7.5,-7.5,-6.8,-5.9
CHEMBL12,-6.9,-7.6,4,-7.6,-6.6,-7.4,-6.0
CHEMBL31,-6.875,-7.5,4,-7.5,-6.6,-7.2,-6.2
CHEMBL431,-6.85,-7.4,4,-7.4,-6.9,-7.0,-6.1
CHEMBL36,-6.825,-9.1,3,-9.1,-5.6,-6.4,-6.2
CHEMBL9,-6.799999999999999,-7.6,4,-7.6,-7.3,-6.2,-6.1
CHEMBL438,-6.75,-7.5,3,-7.1,-7.5,-6.8,-5.6
CHEMBL439,-6.75,-7.0,4,-6.9,-7.0,-7.0,-6.1
CHEMBL22,-6.725,-7.5,3,-7.5,-6.7,-6.8,-5.9
CHEMBL6437,-6.7,-7.7,3,-7.7,-6.1,-7.2,-5.8
CHEMBL451,-6.699999999999999,-7.6,3,-7.6,-6.3,-7.0,-5.9
CHEMBL49,-6.675000000000001,-8.1,3,-8.1,-6.5,-6.7,-5.4
CHEMBL407,-6.675,-7.4,3,-7.4,-6.9,-6.7,-5.7
CHEMBL268869,-6.674999999999999,-7.3,4,-7.3,-6.6,-6.7,-6.1
CHEMBL268164,-6.65,-7.6,4,-6.6,-6.3,-7.6,-6.1
CHEMBL404,-6.65,-7.0,4,-6.5,-7.0,-6.5,-6.6
CHEMBL435,-6.625,-6.9,4,-6.6,-6.9,-6.4,-6.6
CHEMBL23,-6.6000000000000005,-7.2,3,-7.2,-7.1,-6.4,-5.7
CHEMBL40,-6.6,-7.4,3,-7.2,-6.2,-7.4,-5.6
CHEMBL57,-6.45,-7.2,3,-7.2,-6.0,-6.9,-5.7
CHEMBL416,-6.425000000000001,-6.9,3,-6.9,-6.8,-6.4,-5.6
CHEMBL29,-6.425,-7.1,3,-7.1,-5.8,-6.8,-6.0
CHEMBL429,-6.425,-7.0,3,-7.0,-6.3,-6.7,-5.7
CHEMBL8,-6.4,-7.5,3,-7.5,-6.5,-6.1,-5.5
CHEMBL463,-6.4,-7.7,2,-7.7,-5.7,-6.4,-5.8
CHEMBL35,-6.375,-7.4,3,-7.4,-5.7,-6.4,-6.0
CHEMBL7728,-6.35,-7.1,3,-7.1,-5.9,-6.3,-6.1
CHEMBL41,-6.300000000000001,-7.6,2,-7.6,-5.5,-6.5,-5.6
CHEMBL455,-6.2749999999999995,-6.8,3,-6.0,-6.8,-6.6,-5.7
CHEMBL459,-6.25,-7.0,2,-7.0,-7.0,-5.7,-5.3
CHEMBL54,-6.25,-7.3,3,-7.3,-6.2,-6.8,-4.7
CHEMBL267744,-6.2,-6.9,2,-6.9,-6.5,-5.6,-5.8
CHEMBL456,-6.15,-6.8,3,-6.8,-6.2,-6.0,-5.6
CHEMBL5,-6.1499999999999995,-6.8,3,-6.4,-6.8,-6.1,-5.3
CHEMBL27,-6.075,-7.0,1,-7.0,-5.7,-5.8,-5.8
CHEMBL7863,-6.074999999999999,-6.8,2,-6.6,-6.8,-5.4,-5.5
CHEMBL460,-6.074999999999999,-6.9,3,-6.9,-6.1,-6.4,-4.9
CHEMBL411,-6.025,-6.9,3,-6.9,-6.0,-6.1,-5.1
CHEMBL436,-6.0,-6.7,3,-6.7,-6.0,-6.2,-5.1
CHEMBL6995,-6.0,-6.2,3,-6.1,-6.1,-6.2,-5.6
CHEMBL20,-5.975,-6.5,1,-5.9,-6.5,-5.6,-5.9
CHEMBL437,-5.975,-6.4,2,-6.4,-5.8,-6.3,-5.4
CHEMBL403,-5.95,-6.4,2,-6.0,-5.9,-6.4,-5.5
CHEMBL17,-5.875,-6.2,1,-5.9,-5.6,-5.8,-6.2
CHEMBL449,-5.875,-6.5,1,-6.5,-5.8,-5.8,-5.4
CHEMBL55,-5.875,-7.9,1,-7.9,-5.8,-5.5,-4.3
CHEMBL434,-5.875,-6.4,2,-6.3,-6.4,-5.8,-5.0
